weekday,th,motion_0,motion_1,motion_2,motion_3,motion_4,motion_5,motion_6,motion_7
0, 8.0, 0, 1, 1, 1, 0, 0, 1, 1
0, 8.167, 1, 0, 1, 1, 0, 1, 1, 1
0, 8.333, 1, 0, 0, 1, 1, 1, 1, 0
0, 8.5, 1, 0, 1, 1, 0, 0, 0, 0
0, 8.667, 1, 0, 0, 1, 1, 1, 1, 1
0, 8.833, 0, 1, 0, 1, 0, 0, 1, 1
0, 9.0, 0, 0, 0, 0, 0, 0, 0, 0
0, 9.167, 0, 1, 1, 0, 0, 0, 0, 0
0, 9.333, 0, 0, 1, 1, 0, 1, 0, 1
0, 9.5, 0, 0, 0, 0, 0, 0, 1, 1
0, 9.667, 0, 0, 0, 1, 0, 0, 0, 0
0, 9.833, 0, 0, 0, 0, 0, 0, 1, 0
0, 10.0, 1, 0, 1, 0, 0, 0, 0, 0
0, 10.167, 0, 0, 0, 0, 0, 0, 0, 0
0, 10.333, 1, 0, 0, 0, 0, 0, 0, 0
0, 10.5, 0, 1, 0, 0, 1, 0, 0, 0
0, 10.667, 0, 0, 1, 0, 0, 0, 0, 0
0, 10.833, 1, 0, 1, 0, 0, 0, 1, 0
0, 11.0, 1, 0, 0, 0, 1, 1, 0, 0
0, 11.167, 0, 0, 1, 0, 0, 0, 0, 0
0, 11.333, 0, 0, 0, 0, 0, 1, 0, 1
0, 11.5, 0, 1, 1, 0, 0, 0, 0, 0
0, 11.667, 0, 0, 0, 0, 0, 0, 0, 1
0, 11.833, 0, 1, 1, 0, 0, 0, 1, 1
0, 12.0, 0, 0, 1, 0, 0, 1, 0, 0
0, 12.167, 1, 1, 1, 0, 1, 0, 0, 0
0, 12.333, 0, 0, 0, 0, 1, 0, 1, 0
0, 12.5, 0, 1, 0, 0, 1, 1, 0, 0
0, 12.667, 0, 0, 0, 1, 0, 0, 1, 0
0, 12.833, 0, 0, 0, 0, 1, 0, 1, 0
0, 13.0, 0, 0, 0, 1, 0, 1, 1, 0
0, 13.167, 0, 0, 1, 1, 0, 0, 0, 0
0, 13.333, 0, 0, 0, 1, 0, 0, 0, 1
0, 13.5, 0, 0, 1, 1, 0, 1, 0, 1
0, 13.667, 0, 0, 0, 0, 1, 0, 0, 0
0, 13.833, 0, 0, 0, 0, 0, 0, 0, 1
0, 14.0, 0, 0, 0, 0, 1, 0, 0, 0
0, 14.167, 1, 0, 1, 0, 0, 0, 0, 1
0, 14.333, 0, 1, 0, 0, 0, 0, 1, 1
0, 14.5, 0, 0, 0, 1, 1, 1, 1, 1
0, 14.667, 0, 1, 1, 1, 1, 0, 0, 0
0, 14.833, 1, 1, 0, 1, 0, 0, 0, 0
0, 15.0, 1, 0, 0, 1, 0, 0, 0, 0
0, 15.167, 0, 1, 1, 1, 1, 0, 1, 1
0, 15.333, 1, 0, 0, 1, 0, 1, 0, 1
0, 15.5, 0, 1, 1, 1, 1, 0, 0, 0
0, 15.667, 0, 1, 1, 0, 0, 0, 0, 0
0, 15.833, 0, 1, 1, 1, 1, 0, 0, 0
0, 16.0, 0, 0, 0, 0, 1, 0, 0, 0
0, 16.167, 0, 1, 0, 0, 0, 0, 1, 1
0, 16.333, 0, 0, 1, 1, 0, 1, 0, 1
0, 16.5, 0, 1, 1, 1, 0, 0, 1, 0
0, 16.667, 0, 1, 1, 0, 0, 0, 0, 0
0, 16.833, 0, 1, 1, 0, 1, 1, 1, 0
0, 17.0, 0, 1, 1, 1, 0, 1, 1, 0
0, 17.167, 1, 1, 1, 1, 1, 0, 0, 0
0, 17.333, 0, 1, 1, 1, 1, 1, 0, 1
0, 17.5, 1, 1, 1, 0, 1, 1, 0, 0
0, 17.667, 0, 1, 0, 0, 1, 1, 1, 0
0, 17.833, 1, 1, 1, 0, 1, 1, 0, 0
0, 18.0, 1, 1, 1, 0, 1, 0, 0, 0
0, 18.167, 0, 0, 0, 1, 1, 1, 0, 0
0, 18.333, 0, 0, 0, 1, 1, 1, 1, 0
0, 18.5, 0, 0, 0, 1, 1, 1, 0, 0
0, 18.667, 0, 0, 0, 1, 0, 0, 0, 0
0, 18.833, 1, 0, 1, 0, 1, 0, 0, 1
0, 19.0, 0, 0, 0, 1, 1, 1, 0, 0
0, 19.167, 0, 0, 0, 1, 1, 0, 0, 1
0, 19.333, 0, 0, 1, 0, 1, 1, 0, 1
0, 19.5, 0, 1, 0, 0, 0, 1, 0, 0
0, 19.667, 0, 1, 1, 1, 0, 1, 1, 0
0, 19.833, 1, 1, 1, 1, 1, 1, 1, 0
0, 20.0, 1, 1, 1, 1, 1, 1, 0, 1
0, 20.167, 0, 0, 1, 1, 1, 0, 1, 1
0, 20.333, 0, 1, 1, 1, 1, 1, 1, 1
0, 20.5, 1, 1, 0, 0, 1, 1, 0, 1
0, 20.667, 1, 0, 1, 0, 1, 1, 1, 0
0, 20.833, 1, 1, 0, 0, 0, 0, 0, 1
0, 21.0, 1, 1, 0, 0, 1, 0, 0, 1
0, 21.167, 1, 0, 1, 0, 0, 0, 0, 0
0, 21.333, 1, 1, 0, 1, 0, 1, 0, 0
0, 21.5, 1, 0, 0, 0, 1, 0, 1, 0
0, 21.667, 1, 0, 1, 0, 0, 0, 0, 0
0, 21.833, 1, 1, 0, 0, 0, 1, 0, 0
0, 22.0, 1, 0, 0, 0, 1, 1, 0, 1
0, 22.167, 0, 0, 0, 1, 1, 0, 0, 1
0, 22.333, 1, 1, 0, 0, 0, 0, 0, 0
0, 22.5, 1, 0, 0, 0, 1, 0, 0, 0
0, 22.667, 0, 1, 0, 0, 1, 0, 1, 0
0, 22.833, 0, 0, 0, 0, 0, 0, 0, 0
0, 23.0, 0, 1, 0, 0, 1, 0, 0, 1
0, 23.167, 0, 0, 0, 1, 0, 0, 0, 0
0, 23.333, 0, 1, 0, 0, 0, 0, 1, 0
0, 23.5, 1, 1, 0, 0, 0, 0, 0, 0
0, 23.667, 0, 0, 1, 0, 1, 0, 1, 0
0, 23.833, 0, 0, 0, 0, 1, 0, 1, 0
1, 0.0, 0, 0, 1, 0, 0, 1, 0, 0
1, 0.167, 1, 1, 0, 0, 0, 0, 0, 0
1, 0.333, 0, 0, 0, 0, 0, 0, 0, 1
1, 0.5, 0, 0, 0, 0, 1, 0, 0, 0
1, 0.667, 0, 0, 0, 0, 0, 0, 0, 0
1, 0.833, 0, 0, 1, 0, 0, 0, 0, 0
1, 1.0, 0, 0, 0, 0, 1, 0, 1, 0
1, 1.167, 0, 1, 0, 0, 1, 1, 0, 0
1, 1.333, 0, 0, 0, 1, 0, 1, 0, 0
1, 1.5, 1, 0, 1, 1, 1, 0, 1, 0
1, 1.667, 0, 0, 1, 1, 0, 1, 0, 1
1, 1.833, 0, 0, 0, 0, 0, 0, 0, 0
1, 2.0, 0, 0, 0, 1, 0, 0, 0, 0
1, 2.167, 0, 0, 0, 0, 0, 0, 0, 0
1, 2.333, 0, 0, 0, 1, 0, 0, 0, 0
1, 2.5, 0, 0, 0, 0, 0, 0, 1, 1
1, 2.667, 0, 0, 1, 0, 1, 0, 0, 0
1, 2.833, 0, 0, 1, 0, 0, 1, 0, 1
1, 3.0, 0, 0, 0, 0, 0, 0, 0, 1
1, 3.167, 0, 0, 0, 1, 0, 1, 0, 0
1, 3.333, 0, 0, 0, 0, 0, 1, 1, 0
1, 3.5, 0, 0, 0, 1, 1, 0, 0, 0
1, 3.667, 0, 0, 0, 0, 0, 0, 1, 0
1, 3.833, 0, 0, 0, 0, 0, 0, 1, 0
1, 4.0, 0, 0, 0, 0, 0, 0, 0, 1
1, 4.167, 1, 0, 0, 0, 0, 0, 0, 0
1, 4.333, 0, 0, 0, 0, 0, 0, 0, 0
1, 4.5, 0, 1, 1, 0, 1, 0, 1, 0
1, 4.667, 0, 1, 0, 0, 0, 0, 0, 0
1, 4.833, 1, 0, 1, 0, 0, 0, 0, 0
1, 5.0, 0, 0, 0, 0, 0, 0, 1, 0
1, 5.167, 0, 0, 1, 1, 0, 0, 1, 0
1, 5.333, 0, 1, 0, 1, 1, 1, 1, 0
1, 5.5, 1, 1, 1, 0, 0, 0, 0, 0
1, 5.667, 0, 0, 0, 1, 0, 0, 0, 0
1, 5.833, 0, 0, 0, 0, 0, 1, 0, 0
1, 6.0, 0, 1, 0, 0, 0, 0, 0, 0
1, 6.167, 0, 0, 0, 0, 0, 0, 0, 0
1, 6.333, 1, 0, 0, 0, 0, 0, 1, 1
1, 6.5, 1, 1, 0, 0, 0, 0, 1, 1
1, 6.667, 1, 0, 1, 0, 1, 0, 0, 1
1, 6.833, 1, 0, 0, 0, 0, 0, 1, 1
1, 7.0, 1, 1, 1, 0, 0, 1, 0, 0
1, 7.167, 1, 1, 0, 1, 1, 0, 1, 1
1, 7.333, 1, 1, 0, 0, 1, 0, 1, 1
1, 7.5, 0, 1, 1, 1, 1, 0, 1, 1
1, 7.667, 0, 1, 0, 1, 1, 0, 0, 1
1, 7.833, 0, 1, 1, 1, 1, 0, 1, 1
1, 8.0, 0, 0, 0, 0, 1, 0, 1, 1
1, 8.167, 0, 0, 1, 1, 1, 0, 0, 1
1, 8.333, 1, 0, 0, 1, 1, 0, 0, 1
1, 8.5, 0, 0, 1, 0, 1, 0, 1, 1
1, 8.667, 0, 0, 1, 0, 1, 0, 1, 1
1, 8.833, 0, 0, 0, 1, 1, 0, 0, 0
1, 9.0, 0, 1, 0, 0, 0, 1, 1, 0
1, 9.167, 0, 0, 0, 1, 0, 0, 0, 0
1, 9.333, 0, 1, 0, 1, 0, 0, 0, 0
1, 9.5, 0, 0, 0, 0, 0, 1, 1, 1
1, 9.667, 1, 0, 0, 0, 0, 0, 0, 0
1, 9.833, 0, 0, 0, 0, 1, 1, 0, 0
1, 10.0, 0, 1, 0, 0, 1, 0, 0, 0
1, 10.167, 0, 0, 0, 1, 0, 1, 1, 1
1, 10.333, 1, 0, 0, 0, 0, 1, 0, 0
1, 10.5, 0, 0, 0, 0, 0, 0, 0, 0
1, 10.667, 1, 1, 0, 0, 0, 0, 0, 0
1, 10.833, 0, 1, 1, 0, 0, 0, 0, 1
1, 11.0, 1, 0, 1, 0, 0, 0, 0, 1
1, 11.167, 0, 1, 1, 0, 1, 0, 0, 1
1, 11.333, 0, 0, 0, 1, 0, 0, 0, 0
1, 11.5, 0, 0, 0, 0, 1, 0, 1, 0
1, 11.667, 0, 0, 1, 0, 0, 0, 1, 0
1, 11.833, 0, 1, 0, 1, 1, 0, 1, 1
1, 12.0, 0, 1, 0, 1, 0, 0, 0, 0
1, 12.167, 0, 0, 1, 0, 1, 0, 1, 1
1, 12.333, 1, 0, 0, 0, 1, 0, 1, 0
1, 12.5, 0, 0, 1, 0, 1, 0, 1, 0
1, 12.667, 1, 0, 0, 0, 1, 0, 1, 0
1, 12.833, 0, 0, 1, 1, 1, 0, 0, 0
1, 13.0, 0, 0, 0, 1, 1, 0, 1, 1
1, 13.167, 0, 1, 0, 0, 1, 0, 0, 0
1, 13.333, 0, 0, 0, 0, 0, 0, 0, 1
1, 13.5, 1, 0, 0, 1, 0, 0, 0, 0
1, 13.667, 0, 0, 0, 0, 0, 1, 0, 0
1, 13.833, 0, 0, 1, 0, 0, 0, 0, 0
1, 14.0, 1, 0, 0, 0, 0, 0, 0, 0
1, 14.167, 0, 0, 0, 1, 0, 0, 1, 1
1, 14.333, 0, 0, 0, 0, 1, 0, 1, 0
1, 14.5, 0, 0, 0, 1, 0, 0, 0, 1
1, 14.667, 0, 1, 0, 1, 1, 0, 0, 0
1, 14.833, 0, 0, 0, 1, 0, 1, 0, 0
1, 15.0, 1, 1, 0, 0, 0, 0, 1, 1
1, 15.167, 0, 0, 0, 1, 1, 0, 1, 1
1, 15.333, 0, 1, 0, 1, 1, 0, 1, 0
1, 15.5, 0, 1, 1, 1, 1, 0, 0, 0
1, 15.667, 0, 1, 0, 1, 1, 0, 0, 0
1, 15.833, 0, 1, 1, 0, 0, 0, 1, 1
1, 16.0, 0, 1, 0, 1, 1, 0, 1, 1
1, 16.167, 0, 1, 0, 0, 1, 0, 0, 1
1, 16.333, 0, 1, 0, 0, 0, 1, 1, 1
1, 16.5, 0, 1, 1, 0, 0, 0, 1, 0
1, 16.667, 0, 1, 1, 1, 1, 0, 0, 1
1, 16.833, 0, 1, 0, 1, 0, 0, 0, 1
1, 17.0, 0, 0, 0, 0, 1, 0, 0, 1
1, 17.167, 0, 1, 1, 0, 1, 1, 0, 0
1, 17.333, 0, 1, 0, 0, 0, 1, 0, 0
1, 17.5, 0, 1, 1, 0, 1, 1, 0, 0
1, 17.667, 0, 1, 1, 1, 0, 1, 0, 0
1, 17.833, 1, 0, 0, 0, 1, 1, 0, 0
1, 18.0, 1, 0, 1, 0, 1, 1, 0, 1
1, 18.167, 0, 0, 0, 1, 0, 0, 0, 0
1, 18.333, 0, 0, 0, 1, 1, 0, 0, 0
1, 18.5, 1, 0, 0, 1, 1, 0, 0, 1
1, 18.667, 0, 0, 0, 0, 1, 1, 0, 1
1, 18.833, 0, 0, 0, 1, 1, 1, 0, 1
1, 19.0, 0, 0, 0, 1, 1, 0, 1, 0
1, 19.167, 0, 0, 0, 1, 1, 0, 0, 0
1, 19.333, 0, 1, 1, 1, 1, 1, 0, 1
1, 19.5, 0, 1, 1, 0, 1, 1, 0, 0
1, 19.667, 1, 1, 1, 1, 1, 1, 0, 0
1, 19.833, 0, 1, 0, 0, 0, 0, 0, 0
1, 20.0, 0, 1, 0, 1, 1, 1, 0, 1
1, 20.167, 0, 1, 1, 1, 1, 1, 0, 1
1, 20.333, 0, 1, 0, 0, 1, 0, 0, 1
1, 20.5, 1, 1, 0, 0, 0, 1, 1, 0
1, 20.667, 1, 1, 1, 0, 0, 1, 0, 0
1, 20.833, 1, 1, 0, 0, 0, 1, 1, 1
1, 21.0, 1, 0, 0, 0, 0, 0, 1, 0
1, 21.167, 1, 0, 1, 0, 0, 0, 0, 0
1, 21.333, 1, 1, 0, 0, 0, 0, 0, 1
1, 21.5, 1, 0, 0, 0, 0, 0, 0, 0
1, 21.667, 1, 0, 1, 1, 1, 0, 0, 0
1, 21.833, 1, 0, 0, 0, 0, 0, 0, 1
1, 22.0, 1, 0, 0, 1, 0, 0, 0, 0
1, 22.167, 1, 0, 1, 0, 0, 1, 1, 0
1, 22.333, 1, 0, 0, 0, 0, 0, 0, 1
1, 22.5, 1, 0, 1, 0, 0, 0, 1, 1
1, 22.667, 0, 0, 0, 0, 0, 0, 0, 0
1, 22.833, 0, 1, 0, 0, 1, 0, 0, 0
1, 23.0, 0, 0, 0, 0, 1, 0, 0, 0
1, 23.167, 0, 0, 0, 0, 0, 1, 0, 0
1, 23.333, 0, 0, 0, 0, 0, 0, 0, 0
1, 23.5, 0, 0, 0, 0, 1, 0, 0, 1
1, 23.667, 0, 0, 0, 0, 0, 0, 0, 0
1, 23.833, 0, 0, 0, 0, 1, 0, 0, 0
2, 0.0, 0, 0, 0, 1, 0, 1, 0, 0
2, 0.167, 0, 1, 0, 1, 0, 0, 0, 0
2, 0.333, 0, 0, 0, 0, 0, 1, 0, 1
2, 0.5, 0, 0, 0, 1, 0, 0, 1, 1
2, 0.667, 0, 0, 0, 0, 1, 0, 0, 1
2, 0.833, 1, 1, 0, 0, 0, 0, 0, 0
2, 1.0, 0, 1, 0, 0, 0, 0, 0, 0
2, 1.167, 0, 1, 0, 0, 0, 1, 0, 0
2, 1.333, 0, 0, 0, 0, 0, 0, 1, 0
2, 1.5, 1, 1, 1, 0, 0, 0, 0, 0
2, 1.667, 0, 0, 0, 0, 0, 1, 1, 0
2, 1.833, 0, 0, 0, 0, 1, 0, 0, 0
2, 2.0, 1, 0, 1, 1, 0, 0, 0, 1
2, 2.167, 0, 1, 1, 1, 1, 0, 0, 0
2, 2.333, 0, 0, 1, 0, 1, 0, 1, 0
2, 2.5, 0, 1, 0, 0, 0, 0, 0, 0
2, 2.667, 1, 0, 1, 0, 0, 0, 1, 0
2, 2.833, 0, 0, 0, 1, 0, 0, 0, 0
2, 3.0, 0, 0, 0, 0, 1, 0, 0, 0
2, 3.167, 1, 0, 0, 0, 1, 0, 0, 0
2, 3.333, 1, 0, 0, 0, 1, 0, 0, 1
2, 3.5, 0, 0, 1, 0, 0, 0, 0, 0
2, 3.667, 0, 0, 0, 0, 0, 1, 0, 0
2, 3.833, 0, 0, 0, 0, 1, 0, 0, 1
2, 4.0, 0, 0, 0, 0, 1, 0, 0, 0
2, 4.167, 0, 0, 1, 0, 0, 0, 0, 0
2, 4.333, 0, 0, 0, 1, 0, 0, 0, 0
2, 4.5, 0, 1, 0, 1, 1, 0, 0, 0
2, 4.667, 0, 0, 0, 0, 0, 1, 0, 0
2, 4.833, 1, 0, 0, 0, 0, 0, 1, 0
2, 5.0, 0, 0, 0, 0, 0, 0, 0, 0
2, 5.167, 0, 1, 0, 0, 1, 0, 0, 1
2, 5.333, 1, 0, 0, 0, 0, 0, 0, 1
2, 5.5, 0, 1, 0, 1, 0, 0, 0, 0
2, 5.667, 0, 0, 0, 0, 0, 0, 0, 0
2, 5.833, 1, 0, 1, 0, 1, 0, 0, 1
2, 6.0, 0, 0, 1, 0, 0, 0, 1, 0
2, 6.167, 0, 0, 0, 0, 0, 0, 0, 0
2, 6.333, 1, 0, 1, 0, 0, 0, 0, 0
2, 6.5, 1, 1, 1, 0, 0, 0, 1, 1
2, 6.667, 1, 0, 1, 0, 0, 0, 1, 0
2, 6.833, 1, 1, 0, 0, 0, 0, 1, 1
2, 7.0, 1, 1, 1, 1, 1, 0, 0, 0
2, 7.167, 1, 0, 1, 0, 1, 0, 1, 1
2, 7.333, 1, 1, 1, 0, 1, 0, 1, 1
2, 7.5, 0, 1, 1, 1, 1, 0, 1, 1
2, 7.667, 0, 1, 1, 1, 1, 0, 1, 1
2, 7.833, 1, 0, 1, 1, 1, 0, 1, 1
2, 8.0, 1, 0, 1, 1, 1, 1, 0, 1
2, 8.167, 0, 0, 1, 1, 0, 0, 1, 1
2, 8.333, 0, 0, 1, 0, 0, 1, 1, 1
2, 8.5, 1, 0, 0, 1, 1, 0, 1, 0
2, 8.667, 0, 0, 1, 1, 1, 1, 1, 0
2, 8.833, 0, 0, 0, 0, 1, 0, 1, 1
2, 9.0, 0, 0, 1, 1, 0, 0, 1, 0
2, 9.167, 0, 1, 0, 0, 0, 1, 1, 1
2, 9.333, 0, 0, 1, 0, 0, 1, 0, 0
2, 9.5, 1, 0, 0, 1, 0, 1, 0, 0
2, 9.667, 0, 1, 0, 0, 1, 0, 1, 0
2, 9.833, 0, 0, 0, 0, 1, 0, 0, 1
2, 10.0, 0, 0, 0, 1, 0, 0, 1, 0
2, 10.167, 0, 0, 0, 0, 1, 1, 0, 0
2, 10.333, 0, 0, 0, 0, 1, 0, 0, 0
2, 10.5, 0, 0, 1, 0, 0, 1, 0, 0
2, 10.667, 1, 0, 0, 0, 0, 0, 0, 0
2, 10.833, 0, 1, 0, 1, 1, 0, 0, 0
2, 11.0, 0, 1, 0, 0, 0, 0, 1, 0
2, 11.167, 0, 0, 0, 0, 0, 0, 0, 0
2, 11.333, 0, 0, 0, 0, 0, 0, 0, 1
2, 11.5, 0, 1, 0, 0, 0, 0, 0, 0
2, 11.667, 0, 0, 1, 0, 0, 0, 1, 0
2, 11.833, 0, 0, 0, 0, 0, 0, 1, 1
2, 12.0, 0, 0, 0, 1, 0, 0, 0, 1
2, 12.167, 0, 0, 0, 0, 1, 0, 1, 0
2, 12.333, 0, 0, 0, 1, 1, 0, 0, 0
2, 12.5, 1, 1, 0, 1, 0, 1, 0, 0
2, 12.667, 1, 0, 0, 0, 1, 1, 1, 0
2, 12.833, 0, 0, 1, 0, 1, 0, 0, 0
2, 13.0, 0, 0, 0, 0, 1, 0, 0, 0
2, 13.167, 0, 1, 0, 0, 0, 0, 1, 0
2, 13.333, 0, 1, 0, 1, 1, 0, 0, 0
2, 13.5, 0, 1, 1, 0, 0, 0, 1, 1
2, 13.667, 1, 0, 1, 0, 0, 0, 0, 0
2, 13.833, 1, 0, 0, 0, 0, 0, 0, 1
2, 14.0, 0, 0, 1, 0, 0, 1, 0, 0
2, 14.167, 1, 0, 0, 0, 0, 0, 0, 0
2, 14.333, 0, 0, 0, 0, 0, 0, 0, 1
2, 14.5, 0, 1, 1, 0, 1, 0, 0, 0
2, 14.667, 0, 1, 0, 1, 0, 0, 0, 0
2, 14.833, 0, 0, 0, 1, 1, 1, 0, 0
2, 15.0, 0, 0, 1, 0, 1, 0, 1, 1
2, 15.167, 0, 1, 1, 1, 1, 0, 1, 1
2, 15.333, 0, 1, 0, 1, 1, 0, 0, 0
2, 15.5, 0, 1, 1, 1, 1, 0, 1, 0
2, 15.667, 0, 1, 1, 1, 1, 0, 0, 0
2, 15.833, 1, 1, 1, 1, 1, 0, 1, 0
2, 16.0, 0, 1, 1, 0, 1, 1, 0, 1
2, 16.167, 1, 1, 1, 0, 0, 0, 0, 0
2, 16.333, 0, 1, 1, 0, 0, 1, 1, 0
2, 16.5, 1, 1, 1, 0, 0, 0, 0, 1
2, 16.667, 0, 1, 0, 0, 0, 1, 1, 0
2, 16.833, 0, 1, 1, 0, 1, 0, 0, 1
2, 17.0, 0, 1, 0, 1, 1, 0, 0, 0
2, 17.167, 1, 1, 1, 0, 1, 0, 1, 0
2, 17.333, 1, 0, 1, 0, 1, 1, 0, 0
2, 17.5, 0, 1, 1, 0, 0, 0, 0, 0
2, 17.667, 0, 1, 1, 1, 0, 0, 1, 0
2, 17.833, 0, 1, 1, 0, 1, 1, 0, 1
2, 18.0, 0, 0, 1, 0, 1, 0, 1, 0
2, 18.167, 1, 0, 0, 1, 0, 1, 1, 1
2, 18.333, 0, 1, 0, 1, 1, 1, 0, 0
2, 18.5, 0, 0, 0, 1, 1, 1, 0, 1
2, 18.667, 1, 0, 0, 1, 1, 1, 1, 0
2, 18.833, 0, 0, 0, 1, 1, 0, 1, 0
2, 19.0, 0, 0, 1, 1, 0, 1, 0, 0
2, 19.167, 1, 0, 0, 1, 0, 0, 0, 0
2, 19.333, 0, 1, 0, 0, 1, 1, 0, 1
2, 19.5, 0, 1, 1, 0, 1, 0, 0, 0
2, 19.667, 0, 1, 1, 1, 1, 0, 0, 0
2, 19.833, 0, 1, 0, 1, 0, 0, 0, 0
2, 20.0, 1, 1, 1, 1, 1, 1, 1, 1
2, 20.167, 0, 1, 0, 0, 1, 0, 1, 1
2, 20.333, 0, 1, 1, 1, 1, 0, 1, 1
2, 20.5, 1, 1, 1, 0, 0, 1, 1, 0
2, 20.667, 1, 1, 1, 1, 0, 1, 1, 1
2, 20.833, 1, 0, 1, 0, 0, 0, 1, 0
2, 21.0, 0, 1, 0, 0, 0, 0, 0, 0
2, 21.167, 1, 0, 0, 0, 0, 0, 0, 0
2, 21.333, 1, 0, 0, 0, 0, 1, 0, 0
2, 21.5, 1, 0, 0, 0, 0, 0, 0, 0
2, 21.667, 0, 1, 0, 1, 1, 0, 0, 0
2, 21.833, 1, 0, 0, 1, 0, 0, 0, 0
2, 22.0, 1, 0, 0, 0, 1, 0, 1, 0
2, 22.167, 1, 0, 0, 0, 0, 0, 0, 0
2, 22.333, 1, 0, 0, 0, 1, 0, 0, 0
2, 22.5, 0, 0, 1, 0, 1, 0, 0, 0
2, 22.667, 0, 0, 0, 0, 0, 0, 0, 0
2, 22.833, 0, 0, 1, 0, 0, 0, 0, 1
2, 23.0, 1, 0, 0, 0, 0, 0, 0, 0
2, 23.167, 0, 0, 1, 1, 0, 0, 0, 0
2, 23.333, 0, 0, 0, 0, 0, 0, 0, 1
2, 23.5, 0, 0, 0, 0, 0, 1, 0, 0
2, 23.667, 0, 1, 0, 1, 0, 1, 0, 1
2, 23.833, 0, 1, 1, 0, 0, 0, 0, 0
3, 0.0, 0, 0, 0, 0, 0, 0, 0, 1
3, 0.167, 0, 0, 1, 1, 0, 0, 0, 1
3, 0.333, 0, 1, 0, 0, 0, 0, 0, 1
3, 0.5, 0, 1, 0, 0, 0, 1, 1, 0
3, 0.667, 0, 1, 0, 0, 0, 0, 0, 1
3, 0.833, 0, 0, 1, 1, 0, 0, 0, 0
3, 1.0, 0, 1, 1, 0, 0, 0, 0, 0
3, 1.167, 0, 1, 0, 0, 1, 0, 0, 0
3, 1.333, 0, 1, 1, 1, 1, 0, 1, 0
3, 1.5, 0, 1, 1, 0, 0, 0, 1, 0
3, 1.667, 1, 1, 0, 0, 0, 0, 0, 0
3, 1.833, 0, 1, 0, 0, 0, 0, 1, 0
3, 2.0, 0, 0, 0, 0, 0, 1, 0, 0
3, 2.167, 0, 0, 0, 0, 0, 0, 1, 0
3, 2.333, 0, 0, 1, 0, 0, 1, 1, 1
3, 2.5, 0, 0, 0, 1, 1, 0, 0, 1
